"","fitchange","psd","n","power","sig.level"
"80",0.0319191919191919,0.00908502047085672,4,0.983133743607885,0.05
"81",0.0323232323232323,0.00908502047085672,4,0.98511020286266,0.05
"82",0.0327272727272727,0.00908502047085672,4,0.98688281378277,0.05
"83",0.0331313131313131,0.00908502047085672,4,0.988468825331489,0.05
"84",0.0335353535353535,0.00908502047085672,4,0.989884517615512,0.05
"85",0.0339393939393939,0.00908502047085672,4,0.991145192705681,0.05
"86",0.0343434343434343,0.00908502047085672,4,0.992265175695349,0.05
"87",0.0347474747474747,0.00908502047085672,4,0.993257824811087,0.05
"88",0.0351515151515151,0.00908502047085672,4,0.994135549414954,0.05
"89",0.0355555555555556,0.00908502047085672,4,0.994909834747412,0.05
"90",0.035959595959596,0.00908502047085672,4,0.995591272325255,0.05
"91",0.0363636363636364,0.00908502047085672,4,0.996189594946862,0.05
