"","fitchange","psd","n","power","sig.level"
"80",0.0319191919191919,0.0091071297647019,4,0.982729882780312,0.05
"81",0.0323232323232323,0.0091071297647019,4,0.984742848666635,0.05
"82",0.0327272727272727,0.0091071297647019,4,0.986549511111269,0.05
"83",0.0331313131313131,0.0091071297647019,4,0.988167179726146,0.05
"84",0.0335353535353535,0.0091071297647019,4,0.989612207710558,0.05
"85",0.0339393939393939,0.0091071297647019,4,0.990899980646687,0.05
"86",0.0343434343434343,0.0091071297647019,4,0.992044915614638,0.05
"87",0.0347474747474747,0.0091071297647019,4,0.993060469462614,0.05
"88",0.0351515151515151,0.0091071297647019,4,0.993959155087148,0.05
"89",0.0355555555555556,0.0091071297647019,4,0.994752564585697,0.05
"90",0.035959595959596,0.0091071297647019,4,0.995451398203662,0.05
