"","u","v","power","f2","sig.level","n"
"111",1,30,0.278284736500044,0.151515151515152,0.05,"32"
"112",1,30,0.301047921001256,0.166666666666667,0.05,"32"
"113",1,30,0.323574338939942,0.181818181818182,0.05,"32"
"114",1,30,0.345824267236902,0.196969696969697,0.05,"32"
"115",1,30,0.367762276426161,0.212121212121212,0.05,"32"
"116",1,30,0.389356966416091,0.227272727272727,0.05,"32"
"117",1,30,0.410580710187468,0.242424242424242,0.05,"32"
"118",1,30,0.43140941026222,0.257575757575758,0.05,"32"
"119",1,30,0.451822257189891,0.272727272727273,0.05,"32"
"120",1,30,0.471801503787817,0.287878787878788,0.05,"32"
"121",1,30,0.491332245994055,0.303030303030303,0.05,"32"
"122",1,30,0.5104022138573,0.318181818181818,0.05,"32"
"123",1,30,0.529001572143761,0.333333333333333,0.05,"32"
"124",1,30,0.547122729554992,0.348484848484848,0.05,"32"
"125",1,30,0.564760161803619,0.363636363636364,0.05,"32"
"126",1,30,0.581910235970761,0.378787878787879,0.05,"32"
"127",1,30,0.598571051493139,0.393939393939394,0.05,"32"
"128",1,30,0.614742286629007,0.409090909090909,0.05,"32"
"129",1,30,0.630425054302393,0.424242424242424,0.05,"32"
"130",1,30,0.645621766421117,0.439393939393939,0.05,"32"
"131",1,30,0.660336006399265,0.454545454545455,0.05,"32"
"132",1,30,0.674572409601758,0.46969696969697,0.05,"32"
"133",1,30,0.688336550411678,0.484848484848485,0.05,"32"
"134",1,30,0.701634841355301,0.5,0.05,"32"
"135",1,30,0.71447443034857,0.515151515151515,0.05,"32"
"136",1,30,0.726863113093253,0.53030303030303,0.05,"32"
"137",1,30,0.738809247895716,0.545454545454545,0.05,"32"
"138",1,30,0.750321677364277,0.560606060606061,0.05,"32"
"139",1,30,0.761409655925367,0.575757575757576,0.05,"32"
"140",1,30,0.772082782864254,0.590909090909091,0.05,"32"
"141",1,30,0.782350940601797,0.606060606060606,0.05,"32"
"142",1,30,0.792224237925429,0.621212121212121,0.05,"32"
"143",1,30,0.801712957130385,0.636363636363636,0.05,"32"
"144",1,30,0.810827509246348,0.651515151515151,0.05,"32"
"145",1,30,0.819578386394982,0.666666666666667,0.05,"32"
"146",1,30,0.827976124786841,0.681818181818182,0.05,"32"
"147",1,30,0.836031268152175,0.696969696969697,0.05,"32"
"148",1,30,0.843754335229657,0.712121212121212,0.05,"32"
"149",1,30,0.851155790469967,0.727272727272727,0.05,"32"
"150",1,30,0.858246017742603,0.742424242424242,0.05,"32"
"151",1,30,0.865035296843674,0.757575757575758,0.05,"32"
"152",1,30,0.871533782611847,0.772727272727273,0.05,"32"
"153",1,30,0.877751486468877,0.787878787878788,0.05,"32"
"154",1,30,0.88369826021025,0.803030303030303,0.05,"32"
"155",1,30,0.889383781880414,0.818181818181818,0.05,"32"
"156",1,30,0.894817542924172,0.833333333333333,0.05,"32"
"157",1,30,0.900008840268569,0.848484848484848,0.05,"32"
"158",1,30,0.904966763942379,0.863636363636364,0.05,"32"
"159",1,30,0.90970019211672,0.878787878787879,0.05,"32"
"160",1,30,0.914217784659821,0.893939393939394,0.05,"32"
"161",1,30,0.918527978514745,0.909090909090909,0.05,"32"
"162",1,30,0.922638984233115,0.924242424242424,0.05,"32"
"163",1,30,0.926558783561799,0.939393939393939,0.05,"32"
"164",1,30,0.930295127986116,0.954545454545455,0.05,"32"
"165",1,30,0.933855538139359,0.96969696969697,0.05,"32"
"166",1,30,0.937247303994419,0.984848484848485,0.05,"32"
"167",1,30,0.940477485758992,1,0.05,"32"
"168",1,30,0.943552915401259,1.01515151515152,0.05,"32"
"169",1,30,0.946480198738076,1.03030303030303,0.05,"32"
"170",1,30,0.949265718022587,1.04545454545455,0.05,"32"
"171",1,30,0.951915634972805,1.06060606060606,0.05,"32"
"172",1,30,0.954435894187037,1.07575757575758,0.05,"32"
"173",1,30,0.956832226325713,1.09090909090909,0.05,"32"
"174",1,30,0.959110154372204,1.10606060606061,0.05,"32"
"175",1,30,0.961274994688774,1.12121212121212,0.05,"32"
"176",1,30,0.96333186361697,1.13636363636364,0.05,"32"
"177",1,30,0.965285681640787,1.15151515151515,0.05,"32"
"178",1,30,0.967141178202029,1.16666666666667,0.05,"32"
"179",1,30,0.968902896626682,1.18181818181818,0.05,"32"
"180",1,30,0.970575199135115,1.1969696969697,0.05,"32"
"181",1,30,0.972162271911347,1.21212121212121,0.05,"32"
"182",1,30,0.973668130208985,1.22727272727273,0.05,"32"
"183",1,30,0.975096623473576,1.24242424242424,0.05,"32"
"184",1,30,0.976451440463133,1.25757575757576,0.05,"32"
"185",1,30,0.977736114350467,1.27272727272727,0.05,"32"
"186",1,30,0.978954027792685,1.28787878787879,0.05,"32"
"187",1,30,0.980108417954842,1.3030303030303,0.05,"32"
"188",1,30,0.981202381476193,1.31818181818182,0.05,"32"
"189",1,30,0.982238879368899,1.33333333333333,0.05,"32"
"190",1,30,0.983220741840289,1.34848484848485,0.05,"32"
"191",1,30,0.984150673030961,1.36363636363636,0.05,"32"
"192",1,30,0.98503125566208,1.37878787878788,0.05,"32"
"193",1,30,0.985864955586207,1.39393939393939,0.05,"32"
"194",1,30,0.986654126236924,1.40909090909091,0.05,"32"
"195",1,30,0.987401012973313,1.42424242424242,0.05,"32"
"196",1,30,0.988107756831179,1.43939393939394,0.05,"32"
"197",1,30,0.988776400554532,1.45454545454545,0.05,"32"
"198",1,30,0.98940888979848,1.46969696969697,0.05,"32"
"199",1,30,0.990007078869419,1.48484848484848,0.05,"32"
"200",1,30,0.990572734056586,1.5,0.05,"32"
