"","u","v","power","f2","sig.level","n"
"40",1,62,0.973720892450076,0.590909090909091,0.05,"64"
"41",1,62,0.976604175743455,0.606060606060606,0.05,"64"
"42",1,62,0.979185607041784,0.621212121212121,0.05,"64"
"43",1,62,0.981494753782182,0.636363636363636,0.05,"64"
"44",1,62,0.983558576619404,0.651515151515151,0.05,"64"
"45",1,62,0.985401616736847,0.666666666666667,0.05,"64"
"46",1,62,0.987046176390859,0.681818181818182,0.05,"64"
"47",1,62,0.988512491680185,0.696969696969697,0.05,"64"
"48",1,62,0.989818896841797,0.712121212121212,0.05,"64"
"49",1,62,0.990981979630926,0.727272727272727,0.05,"64"
"50",1,62,0.992016727117542,0.742424242424242,0.05,"64"
"51",1,62,0.992936664408085,0.757575757575758,0.05,"64"
"52",1,62,0.993753980059635,0.772727272727273,0.05,"64"
"53",1,62,0.994479646631301,0.787878787878788,0.05,"64"
"54",1,62,0.995123530554923,0.803030303030303,0.05,"64"
"55",1,62,0.995694494044905,0.818181818181818,0.05,"64"
"56",1,62,0.996200489030059,0.833333333333333,0.05,"64"
"57",1,62,0.996648643512186,0.848484848484848,0.05,"64"
"58",1,62,0.997045340774732,0.863636363636364,0.05,"64"
"59",1,62,0.997396291873729,0.878787878787879,0.05,"64"
"60",1,62,0.997706601844343,0.893939393939394,0.05,"64"
"61",1,62,0.997980830051184,0.909090909090909,0.05,"64"
"62",1,62,0.998223045100596,0.924242424242424,0.05,"64"
"63",1,62,0.998436874719446,0.939393939393939,0.05,"64"
"64",1,62,0.998625550988562,0.954545454545455,0.05,"64"
"65",1,62,0.99879195130063,0.96969696969697,0.05,"64"
"66",1,62,0.998938635392787,0.984848484848485,0.05,"64"
"67",1,62,0.999067878783826,1,0.05,"64"
"68",1,62,0.999181702925341,1.01515151515152,0.05,"64"
"69",1,62,0.999281902355615,1.03030303030303,0.05,"64"
"70",1,62,0.99937006912485,1.04545454545455,0.05,"64"
"71",1,62,0.999447614740724,1.06060606060606,0.05,"64"
"72",1,62,0.999515789864311,1.07575757575758,0.05,"64"
"73",1,62,0.999575701968326,1.09090909090909,0.05,"64"
"74",1,62,0.999628331152451,1.10606060606061,0.05,"64"
"75",1,62,0.999674544294277,1.12121212121212,0.05,"64"
"76",1,62,0.999715107477817,1.13636363636364,0.05,"64"
"77",1,62,0.999750698174052,1.15151515151515,0.05,"64"
"78",1,62,0.999781914002248,1.16666666666667,0.05,"64"
"79",1,62,0.999809282595104,1.18181818181818,0.05,"64"
"80",1,62,0.999833269387768,1.1969696969697,0.05,"64"
"81",1,62,0.999854284745602,1.21212121212121,0.05,"64"
"82",1,62,0.999872690304161,1.22727272727273,0.05,"64"
"83",1,62,0.999888804604303,1.24242424242424,0.05,"64"
"84",1,62,0.999902908097205,1.25757575757576,0.05,"64"
"85",1,62,0.999915247586665,1.27272727272727,0.05,"64"
"86",1,62,0.999926040169293,1.28787878787879,0.05,"64"
"87",1,62,0.999935476727063,1.3030303030303,0.05,"64"
"88",1,62,0.999943725021107,1.31818181818182,0.05,"64"
"89",1,62,0.999950932430601,1.33333333333333,0.05,"64"
"90",1,62,0.999957228375976,1.34848484848485,0.05,"64"
"91",1,62,0.999962726461602,1.36363636363636,0.05,"64"
"92",1,62,0.999967526369332,1.37878787878788,0.05,"64"
"93",1,62,0.99997171553094,1.39393939393939,0.05,"64"
"94",1,62,0.999975370604489,1.40909090909091,0.05,"64"
"95",1,62,0.999978558776904,1.42424242424242,0.05,"64"
"96",1,62,0.999981338912631,1.43939393939394,0.05,"64"
"97",1,62,0.999983762566062,1.45454545454545,0.05,"64"
"98",1,62,0.999985874873427,1.46969696969697,0.05,"64"
"99",1,62,0.99998771533815,1.48484848484848,0.05,"64"
"100",1,62,0.999989318522046,1.5,0.05,"64"
"101",1,30,0.05,0,0.05,"32"
"102",1,30,0.0718695834087894,0.0151515151515152,0.05,"32"
"103",1,30,0.0942006074736063,0.0303030303030303,0.05,"32"
